id,first_name,last_name,email,phone_number,password_hash,role,created_at
1,Laure,Lacombe,wmary@example.org,03 22 14 32 67,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423352
2,Lucas,Le Goff,gillesfabre@example.net,0230404614,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423396
3,Alfred,Pascal,xcoulon@example.net,+33 1 46 04 45 06,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423426
4,Gabriel,Samson,alphonse01@example.net,0497045910,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423454
5,Pénélope,Dubois,marcelle07@example.net,0732361938,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423480
6,Marianne,Lebreton,isabelle84@example.org,01 60 59 07 27,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423504
7,Théodore,Delannoy,nathfoucher@example.com,0549279135,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423530
8,Nicolas,Loiseau,catherine82@example.net,04 80 63 12 95,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423555
9,Suzanne,Fouquet,letellierelisabeth@example.org,0546363582,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423582
10,Laurent,Pruvost,grosfranck@example.net,+33 1 49 39 00 14,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423606
11,Alexandria,Riou,yves09@example.com,+33 (0)2 31 89 77 61,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423631
12,Catherine,Perez,patriciaboucher@example.org,+33 2 54 39 07 94,$2b$12$mQ6apj9GU3G9UffHxkS/puCraoRkswp1UzVn3Sxg9/cvugxxDBH/W,student,2026-06-08 19:35:37.423658
